TR:JMD:CellLine,TR:FLT3i,TR:TNF,TR:IGF1R,TR:MAPK14i,TR:JNKi,TR:PI3Ki,TR:MTORi,TR:MEK1_2i,TR:GSK3Bi,TR:GSK3Ai,DA:CREB1,DA:JNK,DA:MAPK14,DA:ERK1_2,DA:STAT3,DA:STAT5A,DA:GSK3B,DA:IGF1R,DA:MTOR,DA:RPS6KB1,DA:PTEN,DA:GSK3A,DA:TSC2,DA:RPS6,DV:CREB1,DV:JNK,DV:MAPK14,DV:ERK1_2,DV:STAT3,DV:STAT5A,DV:GSK3B,DV:IGF1R,DV:MTOR,DV:RPS6KB1,DV:PTEN,DV:GSK3A,DV:TSC2,DV:RPS6
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086354243,0.11628606,0.979360804,0.02134071,0.005624169,0.000686764,0.889457898,0.019909352,0.004633147,0.002940884,0.999099367,0.99383497,0.926331165,0.000527574
1,1,1,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.999,0.978288678,0.999,0.075731836,0.846210578,0.020641658,0.250438893,0.565919759,0.092060391,0.051945121,0.004217363,0.017892326,0.146281212,0.011785856
1,1,0,1,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.009311734,0.086734786,0.48264373,0.021712361,0.004056949,0.007457553,0.8752516,0.023107482,0.005145568,0.006810002,0.076432019,0.987841702,0.6380044,0.001968167
1,1,1,0,1,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.001963803,0.999,0.9206215,0.386776655,0.99506628,0.002553214,0.756770502,0.007575797,0.111213006,0.019279987,0.023441695,0.973058298,0.346813278,0.00407243
1,1,1,0,0,1,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.997899868,0.571794495,0.998946825,0.058688207,0.006652937,0.002662754,0.973079854,0.147512445,0.000898564,0.00635036,0.055164733,0.488752788,0.997803991,0.002495079
1,1,0,1,0,0,1,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.006126607,0.135661503,0.676507917,0.028029531,0.003905194,0.01145458,0.999550032,0.685234653,0.000774629,0.022009869,0.003261786,0.193354265,0.988809223,0.00522425
1,1,0,1,0,0,0,1,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.012444111,0.225693646,0.076192485,0.032757934,0.003006205,0.002021918,0.98319226,0.001196583,0.002621516,0.002568991,0.004858905,0.999160328,0.794303569,0.001068552
1,1,0,1,0,0,0,0,1,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.000471222,0.202554734,0.002138544,0.00047632,0.001628034,0.001089541,0.843068127,0.003111012,0.007713921,0.001901893,0.002083623,0.984610627,0.32896661,0.00120488
1,0,1,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.937132766,0.459182577,0.856906576,0.993979722,0.977872283,0.998310701,0.001,0.999,0.999,0.999,0.003198186,0.001,0.002740893,0.999
1,0,0,1,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.311479518,0.005145955,0.048230685,0.964411774,0.728662791,0.997609078,0.001353749,0.902896881,0.982662647,0.807802862,0.070654812,0.061113982,0.00449737,0.900641504
1,0,1,0,1,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.030024722,0.988653372,0.093051866,0.998291941,0.999,0.991001577,0.002563073,0.881305414,0.997643196,0.991724479,0.114427501,0.021475934,0.001660346,0.638728982
1,0,1,0,0,1,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.985748719,0.152126578,0.957514251,0.016753981,0.000634146,0.00540281,0.653229408,0.304489182,0.002578347,0.005123434,0.001,0.885033754,0.931730255,0.001420119
1,0,0,1,0,0,1,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.887953771,0.067495966,0.268844341,0.999,0.696434883,0.999,0.032209686,0.017444193,0.775485538,0.221598416,0.192130616,0.841359784,0.047434396,0.033811662
1,0,0,1,0,0,0,1,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.067632503,0.005018004,0.028376137,0.995322945,0.779378832,0.978450895,0.006453993,0.011717408,0.867544414,0.001076968,0.237632596,0.990404925,0.007845814,0.003260257
1,0,0,1,0,0,0,0,1,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.003901529,0.226259837,0.000807699,0.000365727,0.000907131,0.9118994,0.006819495,0.173597199,0.628686656,0.035793714,0.001361506,0.985517609,0.00546244,0.008487709
1,0,0,1,0,0,0,0,0,1,1,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0.457734874,0.002252172,0.071308564,0.976036932,0.971977144,0.994019556,0.055008096,0.110939744,0.986858861,0.728427479,0.003075277,0.896968504,0.001,0.351686856
